"","predict","NO2","BP","SOLR","TMP","WDIR","WSPD","TimeHours","lag.1.BP","lag.1.NO","lag.1.NO2","lag.1.NOX","lag.1.O3","lag.1.PM10","lag.1.PM2.5","lag.1.SOLR","lag.1.TMP","lag.1.WDIR","lag.1.WSPD","lag.2.BP","lag.2.NO","lag.2.NO2","lag.2.NOX","lag.2.O3","lag.2.PM10","lag.2.PM2.5","lag.2.SOLR","lag.2.TMP","lag.2.WDIR","lag.2.WSPD","lag.3.BP","lag.3.NO","lag.3.NO2","lag.3.NOX","lag.3.O3","lag.3.PM10","lag.3.PM2.5","lag.3.SOLR","lag.3.TMP","lag.3.WDIR","lag.3.WSPD"
"1",24.032462336784,14.8,996,652,16,171,1.5,"15:00",997,3.1,17.7,22.5,75.3,11.8,11,857,17,170,1.5,997,14,25.8,47.3,75.3,11.7,8,873,17,180,1.7,998,2.2,8.6,12,73.8,11,9,697,16,159,1.5
"2",30.9589259404942,16.7,996,351,16,207,1.3,"16:00",996,3.1,14.8,19.6,73.8,8.3,6,652,16,171,1.5,997,3.1,17.7,22.5,75.3,11.8,11,857,17,170,1.5,997,14,25.8,47.3,75.3,11.7,8,873,17,180,1.7
"3",23.8596662010254,21,988,113,10,183,1.9,"09:00",988,10,24.9,40.2,44.9,23.8,19,98,10,175,1,989,20.6,35.4,66.9,22.5,26.4,18,90,10,185,1.7,990,25.3,39.2,77.9,9.5,20,15,57,9,192,1.4
"4",19.5067846421134,5.3,992,127,10,217,0.9,"10:00",992,5.9,13.4,22.5,76.3,11.5,10,245,10,183,0.8,992,6.2,17.7,27.3,64.9,23.2,19,205,10,130,0.8,991,43.3,51.6,118.1,18.5,38.7,26,70,7,128,0.5
"5",9.08993901002394,12.9,993,256,12,176,1,"13:00",993,7.8,8.1,20.1,87.8,12.4,8,179,11,132,0.6,992,6.2,4.8,14.3,87.8,13.5,10,105,11,188,0.3,992,1.9,5.3,8.1,85.3,11.3,7,127,10,217,0.9
"6",17.1843806693619,13.9,1000,389,13,150,1,"09:00",1000,5.6,21,29.6,36.9,32.3,23,217,12,179,0.9,999,7.5,33,44.5,29.4,31.9,24,68,9,230,0.4,999,5.3,36.3,44.5,29.4,32.4,23,37,7,168,0.2
"7",6.36276527066504,7.7,1001,698,15,175,1.5,"11:00",1000,1.9,9.1,12,53.9,22.2,15,558,14,155,1.4,1000,4.7,13.9,21,42.4,29.1,22,389,13,150,1,1000,5.6,21,29.6,36.9,32.3,23,217,12,179,0.9
"8",16.8870685836344,11,1001,381,16,185,1.5,"13:00",1001,1.9,9.1,12,56.4,20.5,15,680,16,189,1.5,1001,1.9,7.7,10.5,57.9,23.5,14,698,15,175,1.5,1000,1.9,9.1,12,53.9,22.2,15,558,14,155,1.4
"9",5.04629181039246,10,1002,611,16,205,2,"14:00",1001,6.2,11,20.6,57.4,21.4,15,381,16,185,1.5,1001,1.9,9.1,12,56.4,20.5,15,680,16,189,1.5,1001,1.9,7.7,10.5,57.9,23.5,14,698,15,175,1.5
"10",9.21688094622515,9.6,1002,645,16,202,1.9,"15:00",1002,2.8,10,14.3,59.4,15.3,11,611,16,205,2,1001,6.2,11,20.6,57.4,21.4,15,381,16,185,1.5,1001,1.9,9.1,12,56.4,20.5,15,680,16,189,1.5
"11",20.029305681845,9.1,1002,357,16,198,1.3,"16:00",1002,3.1,9.6,14.3,64.4,14,9,645,16,202,1.9,1002,2.8,10,14.3,59.4,15.3,11,611,16,205,2,1001,6.2,11,20.6,57.4,21.4,15,381,16,185,1.5
